"종류(01한식,02중식,03일식,04양식,05기타외국음식,06디저트/카페)",테마(국가),업소명,전화번호,주소1,주소2,주요요리,위도,경도,사장님이자랑하는내가게한마디
5,프랑스,도르프,02-797-7870,서울특별시 용산구 독서당로20길 9,1층 (한남동),"주요메뉴 : 머쉬룸파이16,000, 어니언수프 12,000, 꼬꼬뱅 25,000추천메뉴 : 꼬꼬뱅 25,000",37.53359876,127.0091463,프랑스 가정식 요리를 맛볼 수 있는 음식점
5,유럽,아벡누,02-749-7303,서울특별시 용산구 독서당로29길 5-6,2층 (한남동),"주요메뉴 : 꼬꼬뱅 18,000, 까비요 코코트 20,000, 제스퍼 스테이크 32,000추천메뉴 : 제스퍼 스테이크 32,000",37.53695027,127.0115182,유러피안 키친
5,이탈리아,스티키팟한남점,02-795-6255,서울특별시 용산구 독서당로29길 5-6,2층 (한남동),"주요메뉴 : 스티키팟 그릴치킨 25,000, 블랙 프라이드 키친 23,000, 연근칩 트러플 버섯크림 파스타 16,000추천메뉴 : 연근칩 트러플 버섯크림 파스타 16,000",37.53695027,127.0115182,"이색 치킨(새롭게 선보이는 이색스타일 치킨, 부띠크 치킨과 펍의 조화)"
5,터키,미스터케밥 본점,070-7758-1997,서울특별시 용산구 이태원로 191,1~2층 (이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 점보 케밥 양고기 7,000, 필라프 케밥 양고기 9,000, 치즈 토스트 케밥 닭고기 7,500, 팔라펠 랩 6,500 추천메뉴 : 터키 케밥 닭고기 5,500",37.53477753,126.9952978,다양한 터키 케밥과 할랄 음식의 대표적 음식점
5,터키,미스터케밥 2호점,070-7532-1997,서울특별시 용산구 우사단로 42,(이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 점보 케밥 믹스 닭 양고기 8,000, 박스 케밥 닭고기 7,500, 치즈 토스트 케밥 양고기 8,000, 팔라펠 랩 6,500추천메뉴 : 점보 케밥 믹스 닭&amp;양고기 8,000",37.53395223,126.995764,다양한 터키 케밥과 할랄 음식의 대표적 음식점
5,터키,술탄베이케밥,02-749-3890,서울특별시 용산구 보광로 126,(이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 톰빅 케밥 양고기 7,000, 이네골 케밥 9,900, 라흐마준 랩 9,900, 술탄피데 10,900추천메뉴 : 이네골 케밥 9,900",37.53402424,126.9942253,다양한 터키 케밥과 할랄 음식의 대표적 음식점
5,미국,디트로이트,02-792-1231,서울특별시 용산구 이태원로19길 20,1층 (이태원동),"주요메뉴 : 피자 19,800~27,800, 파스타 9,800~12,000, 샐러드 9,800~13,000추천메뉴 : 피자 19,800~27,800",37.53533596,126.9918944,담백한 시카고 피자와 파스타
5,이탈리아,오마일,02-796-0258,서울특별시 용산구 독서당로 70,(한남동),"주요메뉴 : block pane 27,900, 김치볶음밥 13,000, 떡볶이 15,000추천메뉴 : block pane 27,900",37.53359879,127.0086982,
5,중국,웨스턴차이나,02-795-6751,서울특별시 용산구 독서당로 73,"(한남동, 성아맨숀)","주요메뉴 : 짜장면 6,000, 하얀삼선짬뽕 8,000, 해물야채소면 8,000추천메뉴 : 하얀삼선짬뽕 8,000",37.53419708,127.008386,
5,베트남,굿모닝베트남,02-797-3933,서울특별시 용산구 독서당로 73,"1층 (한남동, 성아맨숀)","주요메뉴 : 소고기 볶음면 12,000, 해산물 볶음밥 11,500, 안심쌀국수 9,500추천메뉴 : 소고기 볶음면 12,000",37.53419708,127.008386,수입한는 건면과 달리 저희업소는 생면을 씁니다
5,일본,함바그또카레야,02-793-8582,서울특별시 용산구 독서당로 76,(한남동),"주요메뉴 : 함박스테이크 10,000, 일본식카레 7,000, 함박스테이크 카레 12,500추천메뉴 : 함박스테이크 10,000",37.53392312,127.0090739,
5,이탈리아,퀸스파크 한남점,02-796-9580,서울특별시 용산구 독서당로 80,1~2층 (한남동),"주요메뉴 : 파이어 온더 스테이크 38,000, 꽃게 파스타 24,500, 해산물 파스타 스튜 20,500추천메뉴 : 꽃게파스타 24,500",37.53401319,127.0094676,
5,인도,챠크라,02-796-2255,서울특별시 용산구 독서당로 83,(한남동),"주요메뉴 : 사모사 9,900, 탄두리 치킨 9,900, 카레 13,200추천메뉴 : 사모사 9,900",37.53449611,127.0096849,
5,이탈리아,아날로그키친,02-749-2927,서울특별시 용산구 독서당로 67,(한남동),"주요메뉴 : 베이컨 오일 파스타 13,000, 까르보나라 13,000, 토마토아라비아파스타 13,000추천메뉴 : 베이컨오일파스타 13,000",37.5338367,127.0081461,
5,미국,바나나그릴,02-792-3088,서울특별시 용산구 독서당로 67,(한남동),"주요메뉴 : 베이컨 오일 파스타 13,000, 까르보나라 13,000, 토마토아라비아파스타 13,000추천메뉴 : 베이컨오일파스타 13,000",37.5338367,127.0081461,아메리칸 스타일의 수제버거집입니다
5,베트남,사이공그릴,02-749-7783,서울특별시 용산구 독서당로 67,2층 (한남동),"주요메뉴 : 소고기 쌀국수 9,500, 닭고기 볶음밥 12,000, 짜죠 7,000추천메뉴 : 닭고기 볶음밥 12,000",37.5338367,127.0081461,
5,베트남,타마린드,02-794-8780,서울특별시 용산구 대사관로5길 12,1층 (한남동),"주요메뉴 : 월남쌈 24,000, 소고기쌀국수 13,000, 탕수갈비 26,000추천메뉴 : 월남쌈 24,000",37.53484249,127.0008599,월남쌈과 베트남 파스타가 맛있는 집
5,미국,샐러드셀러,02-794-0282,서울특별시 용산구 대사관로5길 28,2층 (한남동),"주요메뉴 : 아보카도 샐러드 12,500, 케일코코6,500, 치폴레 수프 6,500추천메뉴 : 아보카도 샐러드 12,500",37.53544436,127.0003937,"우리는 신선한 재료로 직접 샐러드를 만들고 샐러드 드레싱과 샌드위치 스프레드, 리코타 치즈 등을 직접 만들어 사용하고 있습니다"
5,일본,42사이,02-790-1142,서울특별시 용산구 독서당로 116,지하1층 (한남동),"주요메뉴 : 생강돼지 구이 참나문 28,000, 가지말이 커틀릿 25,000, 유자마요 광어 30,000추천메뉴 : 생강돼지 구이 참나문 28,000",37.53641682,127.0121563,신선한 제철 식자제를 사용하는 음식점
5,일본,야스라기,02-749-5675,서울특별시 용산구 독서당로 39,"1층 (한남동, 신성미소시티)","주요메뉴 : 스끼야끼(2인분) 10,000, 오마카세 요리 50,000, 오꼬노미야끼 12,000추천메뉴 : 오마카세 요리 50,000",37.53159508,127.0070009,오사카 요리의 맛집
5,일본,81번옥,070-8119-6770,서울특별시 용산구 대사관로34길 74,1층 (한남동),"주요메뉴 : 소유 7,000, 미소 8,000, 탄탄멘 9,000, 점보라멘 20,000추천메뉴 : 소유7,000",37.53012828,127.0065211,"소유,  미소가 유명한 맛집(점보라멘)"
5,중국,래리성,02-795-1378,서울특별시 용산구 대사관로34길 66,2층 (한남동),"주요메뉴 : 오룡해삼 56,000, 양장피 29,000, 굴짬뽕 7,000추천메뉴 : 오룡해삼 56,000",37.53034453,127.006322,오룡해삼과 양장피가 맛있는 집
5,페루,티그레,02-790-4511,서울특별시 용산구 대사관로31길 31,1층 (한남동),"주요메뉴 : 세비체 12,000, 차우파 19,000, 안티쿠쵸 15,000추천메뉴 : 세비체 12,000",37.53477387,127.0058246,페루음식입니다
5,미국,세컨드키친 한남,02-794-7435,서울특별시 용산구 한남대로18길 22,1~2층 (한남동),"주요메뉴 : 브런치(음료,디저트) 24,500, 낫 길티 플레져 코스 55,000, 낫 길티 플레져 코스 디너 66,000, 월도프샐러드 19,000,<br>저온조리삼겹살 34,000, 한우채끝스테이크 45,000추천메뉴 : 낫 길티 플레져 코스 디너 66,000",37.53439168,127.0085444,"다양한 국적과 연령이 찾는 뉴아메리칸 다이닝 레스토랑, 매년 1만병정도의 와인을 판매 할만큼 음식과 와인의 페어링으로 유명한 공간이다. 와인과 페어링하기 좋은 다이닝 메뉴는 물론 브런치 메뉴까지 선택의 폭이 넓다. 바닥에서 천장까지 11미터에 달하는 공간감과 시간에 따라 다르게 조명과 음악의 변화로 분위기를 다르게 연출하는 내부신도 독특하다."
5,일본,미카,02-793-7982,서울특별시 용산구 회나무로 9,1층 (이태원동),"주요메뉴 : 와규찹스테이크 25,000, 특선오코노미야끼 18,000, 치킨난방쯔께 18,000추천메뉴 : 와규찹스테이크 25,000",37.53866932,126.9878615,전통일본요리와 현대적인 감각의 퓨전요리
5,일본,오지상함박스테이크,070-4407-0712,서울특별시 용산구 회나무로 9,1층 (이태원동),"주요메뉴 : 오리지널 함바그 12,500, 텐더 함바그13,500 베이컨 토핑 2,000추천메뉴 : 오리지널 함바그 12,500",37.53866932,126.9878615,2011년 오픈하여 매일 매장에서 직접 소고기를 반죽하여 제공하는 함박스테이크 전문점입니다
5,파키스탄,알사바페르시안퀸,02-792-1488,서울특별시 용산구 회나무로44길 40,2층 (이태원동),"주요메뉴 : chana dal curry(병아리콩커리) 12,000, chicken muttani(치킨커리) 18,000, mutton dalfrezy(양고기커리) 19,000추천메뉴 : chana dal curry(병아리콩커리) 12,000",37.53958167,126.9953926,"점심메뉴(3~5시) 샐러드, 밥(or로티), 커리 제공, 1979년부터 용산에서 인도, 파키스탄 정통커리 운영"
5,유럽,포르게따,02-797-8808,서울특별시 용산구 회나무로 3,1층 (이태원동),"주요메뉴 : chipotle porchetta sandwich(치포틀레뽀르게따샌드위치)9,200, Grilled veggie sandwich(그릴드베지샌드위치) 8,500, basil pesto chicken salad(바질페스토치킨샐러드) 1,500추천메뉴 : chipotle porchetta sandwich(치포틀레뽀르게따샌드위치)9,200 ",37.53858638,126.9874044,
5,일본,이치더힐,02-794-2664,서울특별시 용산구 회나무로 3,2층 (이태원동),"주요메뉴 : 밀푀유나베 30,000, 모듬사시미(1~2인) 39,000, 게살크림고로케 15,000 추천메뉴 : 밀푀유나베 30,000",37.53858638,126.9874044,편안한 좌석과 좋은 서비스!
5,유럽,피어39,02-749-0339,서울특별시 용산구 회나무로 3,1층 (이태원동),"주요메뉴 : 파스타 16,000~, 스테이크 25,000~, 생맥주 10,000, 와인 55,000~ 추천메뉴 : 파스타 16,000",37.53858638,126.9874044,
5,멕시코,(주)어번그룹 바토스 이태원점,02-797-8226,서울특별시 용산구 이태원로15길 1,(이태원동),"주요메뉴 : 김치 까르니따 프라이스 12,500, 망고 쉬림프 퀘사디아 16,900, <br>칠리 라임 쉬림프 타코(2) 8,900추천메뉴 : 김치 까르니따 프라이스 12,500 ",37.53461864,126.9901929,"뉴욕타임즈, CNN, 월드스트리트저널에 최고의 레스토랑 소개되고 있습니다 서울 방문시 꼭 들러야하는 레스토랑입니다. 단순한 퓨전이 아니라 자연스럽게 접해온 코리안 멕시칸 서울의 독창적인 음식입니다."
5,이탈리아,고블앤고,02-790-5390,서울특별시 용산구 이태원로19길 12,(이태원동),"주요메뉴 : 오믈렛 18,000, 버거스테이크 17,500 햄치즈 프렌치 토스트 18,000추천메뉴 : 오믈렛 18,000",37.53499719,126.9919805,
5,세르비아,벨그레이드(Belgrade),02-796-6933,서울특별시 용산구 이태원로19길 19,(이태원동),"주요메뉴 : 체바피 13,900, 롤치킨 12,900, 벨그레이드 플라터 49,000추천메뉴 : 벨그레이드 플라터 49,000",37.53526027,126.9917315,
5,이탈리아/일본,스탠다드키친,02-795-3375,서울특별시 용산구 한남대로 164,1층 (한남동),"주요메뉴 : 안심크림 리구또 22,500, 아스파라거스오일파스타 18,500, 햄버그라이스 15,500추천메뉴 : 아스파라거스 오일 파스타 18,500",37.54255503,127.0024758,이탈리아&일본 가정식
5,이탈리아,두에꼬제,02-795-1405,서울특별시 용산구 한남대로 60,"S동 1층 (한남동, 금호리첸시아)","주요메뉴 : 고르곤졸라 피자 26,000, 루에꼬제피자 23,000,  할라피뇨 파스타 14,000, 게살크림파스타 16,000추천메뉴 : 고르곤졸라피자 26,000",37.53446021,127.0078747,
5,멕시코,도스타코스,02-797-8525,서울특별시 용산구 한남대로18길 26,지하1층 (한남동),"주요메뉴 : 소프트타코 9,500, 고기라이스부리또 8,500, 나초피에스타 9,500추천메뉴 : 소프트타코 9,500",37.53454304,127.0086531,
5,이탈리아,갈로(Gallo),02-793-8885,서울특별시 용산구 한남대로18길 26,(한남동),"주요메뉴 : napoli pizza 11,000~25,000, pasta 17,000, stake 35,000추천메뉴 : napoli pizza 11,000~25,000",37.53454304,127.0086531,
5,이탈리아,도마622,02-793-9288,서울특별시 용산구 한남대로20길 21-13,지하1~2층 (한남동),"주요메뉴 : 마레샐러드 38,000, 라구파스타 27,000, 한우오미자초밥 28,000, 봉골레파스타 28,000추천메뉴 : 봉골레파스타 28,000",37.53538997,127.0088342,"한남동 핫플레이스, 이탈리아 정통레스토랑 도마622"
5,일본,마인드,02-797-9216,서울특별시 용산구 한남대로20길 36,1층 (한남동),"주요메뉴 : 사시미 77,000, 한우채끝스테이크 43,000, 광어오리 말이 40,000추천메뉴 : 사시미 77,000",37.53484577,127.0087979,한국을 대표하는 맛집평가서 BLUE RIBBORN SURVEY에 등재된 식당입니다. 오뎅바가 유명하며 영어 메뉴판이 준비되어 있고 맛과 분위기가 검증된 식당입니다. BLUE RIBBORN SURVEY는 대한민국 대표 식당을 소개하는 곳입니다.
5,이탈리아,리스퀘어,02-797-7874,서울특별시 용산구 한남대로20길 61,지하1층 (한남동),"주요메뉴 : 샤또브리앙스테이크 58,000, 런치코스메뉴 45,000, 콥샐러드 21,000추천메뉴 : 샤또브리앙스테이크 58,000",37.53494296,127.0102326,국내상 최상급 숙성한우 암소 스테이크
5,유럽,그린바스켓,02-749-5055,서울특별시 용산구 한남대로21길 24,지하1층 (한남동),"주요메뉴 : Bretticus salad 13,500, 버섯크림파스타 10,500, 닭가슴살샌드위치&amp;미니샐러드 8,500
추천메뉴 : Bretticus salad 13,500",37.53383682,127.0061639,고객들이 골라먹는 샐러드(자기만의 샐러드)
5,일본,코쿠라,02-6013-8012,서울특별시 용산구 한남대로27가길 32,1층 (한남동),"주요메뉴 : 돼지생강구이(부타쇼가야끼)13,000, 메로조림 17,000,<br>새우갈릭버터구이(에비갈릭버터야끼) 16,000추천메뉴 : 돼지생강구이(부타쇼가야끼)13,000",37.53810409,127.0025662,"한강진역에서 가까운 한남동 일본일식주점, 식사처입니다"
5,이탈리아,엘본더테이블 이태원점,02-790-0700,서울특별시 용산구 이태원로 270,(한남동),"주요메뉴 : Lunch A(스테이크 메인 디쉬 제공) 50,000, B 65,000, Dinner set(스테이크 메인 디쉬 제공) 85,000추천메뉴 : Lunch A(스테이크 메인 디쉬 제공) 50,000, B 65,000",37.53846089,127.0020367,
5,중국,챠이(Chai)797이태원점,02-749-7972,서울특별시 용산구 이태원로 270,(한남동),"주요메뉴 : 쇼마이(딤섬) 8,000, 북경식 탕수육 25,000, 호두줄 크림 새우 35,000추천메뉴 : 북경식 탕수육 25,000",37.53846089,127.0020367,
5,이탈리아,베라나폴리,02-796-7223,서울특별시 용산구 이태원로 272,(한남동),"주요메뉴 : 마르게리따 19,500, 마리나라 14,000, 안심스테이크 47,000추천메뉴 : 마르게리따 19,500",37.53871317,127.0020774,
5,이탈리아,패션5라뜰리에,02-2071-9507,서울특별시 용산구 이태원로 272,(한남동),"주요메뉴 : 레몬치킨 샐러드 15,000, 뚝배기 파스타 24,000, 데미그라소스 쥬시비프 25,000추천메뉴 : 뚝배기 파스타 24,000",37.53871317,127.0020774,
5,미국,아피아,02-6497-1100,서울특별시 용산구 이태원로 143-10,(이태원동),"주요메뉴 : Choppen salad 19,500, BBQ pork belly 45,000, marinated ouves 9,500추천메뉴 : BBQ pork belly 45,000",37.53467985,126.9895231,
5,이탈리아,스매싱펍,02-797-2231,서울특별시 용산구 이태원로 145,(이태원동),"주요메뉴 : 고르곤졸라 23,000, 치즈칠리새우튀김 24,000, 소시지 23,000추천메뉴 : 고르곤졸라 23,000",37.53458978,126.9899077,
5,태국,왕타이,02-749-2746~7,서울특별시 용산구 이태원로 151,(이태원동),"주요메뉴 : �c양꿍 16,000, 팥타이꿍 14,000, 뿌팥퐁가리 28,000추천메뉴 : �c양꿍 16,000",37.53448173,126.9907224,
5,인도,아그라(Agra),070-8230-4230,서울특별시 용산구 이태원로 153,(이태원동),"주요메뉴 : 탄두리치킨 21,800, 허니 망고 브레드, 흑임자 어쉬룸 브레드 21,800, 각종 커리 18,700추천메뉴 : 탄두리치킨 21,800",37.53459708,126.9909894,
5,미국,(주)오리지널팬케이크하우스(이태원점),02-795-7481,서울특별시 용산구 이태원로 153,(이태원동),"주요메뉴 : 애플팬케이크 20,000 터치베이비 16,000 치킨텐더스트립 8,000추천메뉴 : 더치베이비 16000원 / 프라이드 치킨 와플 18000원",37.53459708,126.9909894,
5,브라질,따봉브라질(TABOMBRAZIL),02-797-3363,서울특별시 용산구 이태원로 161,(이태원동),"주요메뉴 : 무제한 고기리필(제한시간 2시간) 31,900, 카스 무제한 7,900추천메뉴 : 무제한 고기리필(제한시간 2시간) 31,900",37.53453947,126.9918131,7가지 고기와 파인애플을 무제한으로 즐길 수 있습니다. 고기는 항상 옳아요.
5,미국,에이치엘씨(유),02-793-0802,서울특별시 용산구 이태원로 179,(이태원동),"주요메뉴 : 사천치킨 16,900, 몽골리아비프 19,500, 스윗 스파이시 랍스타 80,000추천메뉴 : 사천치킨 16,900",37.5348135,126.9937364,
5,미국,라일리스탭하우스(주),02-792-6590,서울특별시 용산구 이태원로 187,(이태원동),"주요메뉴 : 포크김치나초 12,000, 스카치에그 12,000, 라일리스립플래터 17,000추천메뉴 : 포크김치나초 12,000",37.53472705,126.9947819,
5,터키,알리바바,02-790-7754,서울특별시 용산구 이태원로 203,(이태원동),"주요메뉴 : 코샤리 10,000, 팔라펠 10,000, 코프타 17,000추천메뉴 : 코샤리 10,000",37.53482082,126.9966193,
5,멕시코,온더보더 이태원점,02-792-0682,서울특별시 용산구 이태원로 211,(한남동),"주요메뉴 : 보더샘플러 28,500, 얼티밋화이타 33,500, 더블스텍클럽 퀘사디아 24,500추천메뉴 : 보더샘플러 28,500",37.53498662,126.9972755,신선한 재료와 홈메이드 방식을 추구하는 정통 멕시칸 레스토랑 온더보더(ON THE BORDER)입니다.  서울 속 작은 멕시코로 여러분을 초대합니다
5,태국,(주)타이가든,02-792-8836,서울특별시 용산구 이태원로 223,(한남동),"주요메뉴 : �c양꿍 16,500, 팟타이꿍 14,300, 푸님팟퐁가리 36,300 추천메뉴 : �c양꿍 16,500",37.53547318,126.9985337,"20년 전통의 태국전문 음식점, 태국보다 더 태국적인 맛을 자랑하는 음식점 "
5,베트남,포호아이태원점,02-792-8866,서울특별시 용산구 이태원로 227,(한남동),"주요메뉴 : 양지 쌀국수 8,500, 차돌박이 쌀국수 8,500, 양지, 차돌박이 쌀국수 8,500추천메뉴 : 양지, 차돌박이 쌀국수 8,500",37.53563537,126.998855,
5,태국,어메이징타이,02-796-7377,서울특별시 용산구 이태원로 238,(한남동),"주요메뉴 : �c양꿍 13,000, 팟타이 12,000, 뿌님팟뽕커리 25,000추천메뉴 : �c양꿍 13,000",37.53597055,126.9999728,
5,미국,도미니크(dominic),02-790-7588,서울특별시 용산구 이태원로 242,(한남동),"주요메뉴 : 스테이크 42,000, 크림스핀이치 13,000, 파스타 18,000추천메뉴 : 스테이크 42,000",37.53625887,127.000344,
5,이탈리아,트레비아(Trevia),02-795-6004,서울특별시 용산구 이태원로 247,(한남동),"주요메뉴 : Tre di Olori pasta 18,500, Lasagne 14,500, Margherita con Bufala 22,000 추천메뉴 : Tre di Olori pasta 18,500, Lasagne 14,500, Margherita con Bufala 22,000",37.5369184,127.000258,
5,이탈리아,시화담그릴,02-793-7272,서울특별시 용산구 이태원로 254,(한남동),"주요메뉴 : 김치파스타 12,000, 깔라마리 13,000, 코리안런치 박스 12,000추천메뉴 : 코리안런치 박스 12,000",37.53722834,127.0011767,모던 한식과 와인의 만남
5,일본,라멘81,02-749-6848,서울특별시 용산구 이태원로 258,(한남동),"주요메뉴 : 쇼유 7,000, 미소 8,000, 시오 7,000추천메뉴 : 쇼유 7,000",37.53750584,127.0013713,
5,이탈리아,핏제리아디부자 2호점,02-795-9474,서울특별시 용산구 이태원로 267,르베르지 건물 3층 (한남동),"주요메뉴 : 부자클리시카 19,600, 라자냐클리시카 21,500, 부자샐러드 14,900추천메뉴 : 부자클리시카 19,600",37.53849695,127.0011315,PIZZERIA D’BUZZA(부자피자)는 최상급에 식재료를 사용하여 만드는 이탈리아 정통방식의 레스토랑입니다. 정통 화덕피자를 누구나 캐쥬얼하고 편하게 즐길 수 있도록 만들었으며 보다 합리적인 가격에 제공해드리고자 합니다.
5,미국,길버트버거앤프라이즈이태원,02-792-7676,서울특별시 용산구 녹사평대로40길 55-2,(이태원동),"주요메뉴 : Mr.프레지던트10,500~12,500, 길버트 10,500~12,500, 칠리치즈프라이즈 11,000추천메뉴 : 길버트 10,500~12,500",37.53455366,126.9889393,미국 본토 버거를 즐길 수 있는 곳
5,홍콩,차찬텡,070-5043-4243,서울특별시 용산구 녹사평대로46가길 8,지하1층 (이태원동),"주요메뉴 : 탄탄면 10,500, 소고기차우펀13,500, 미나춘권 5,000추천메뉴 : 탄탄면 10,500",37.53692502,126.9882329,"(차)와 (찬)식사를 함께 즐기는 공간(텡), 홍콩식 누들카페"
5,미국,오베이(5Bey),02-794-5239,서울특별시 용산구 녹사평대로46길 10,2층 (이태원동),"주요메뉴 : 맨하탄버거 10,500, 캡틴아메리카 10,500, 그랜드슬램9,500추천메뉴 : 맨하탄버거 10,500",37.53726011,126.9874137,LA푸드트럭
5,호주,그데이,02-749-0085,서울특별시 용산구 녹사평대로46길 10,1층 (이태원동),"주요메뉴 : vluru Paninni 11,800, Magic Mushroom Jaffle 6,000, Stoned konla Jaffle 5,500추천메뉴 : Magic Mushroom Jaffle 6,000",37.53726011,126.9874137,Austrain style의 샌드위치 카페입니다
5,이탈리아,빌리스테이블,02-790-3312,서울특별시 용산구 녹사평대로46길 16-4,1층 (이태원동),"주요메뉴 : 시금치피자 21,000, 새우크림파스타 19,500, 블루베리리코타샐러드 17,000추천메뉴 : 시금치피자21,000",37.53713401,126.9877893,경리단길에서 파스타 제일 잘 하는 집
5,태국,까올리포차나,070-8872-1995,서울특별시 용산구 녹사평대로52길 7,1층 (이태원동),"주요메뉴 : 팟타이 10,000~12,000, �c양꿍 18,000, 탈데팟퐁가리 25,000추천메뉴 : 탈데팟퐁가리 25,000",37.5391198,126.9876668,이태원 태국 음식 전문점
5,일본,맷크로켓,02-790-0123,서울특별시 용산구 녹사평대로54길 16,1층 (이태원동),"주요메뉴 : 생선크로켓 4,000, 게살크림크로켓 4,000, 양송이튀김 6,000추천메뉴 : 게살크림크로켓 4,000",37.53913786,126.9881013,"홈메이드 형식으로 소스,크로켓 모두 수제로 만들어집니다"
5,쿠바,삼이공(320),02-794-0310,서울특별시 용산구 녹사평대로54길 17,1층 (이태원동),"주요메뉴 : 쿠바노스(쿠바식 소스에 재운 고기가 들어가는 샌드위치) 12,000, 소호샌드위치(햄과 팔라피뇨가 들어가는 샌드위치) 11,000추천메뉴 : 쿠바노스 12,000",37.53920996,126.9883049,영화 `아메리칸 쉐프`에 등장한 쿠바식 샌드위치점
5,그리스,엘그레코스,070-8263-8678,서울특별시 용산구 녹사평대로54길 23,1층 (이태원동),"주요메뉴 : 기로스 플레이트 14,500, 양고기 기로스 피타 11,500, 팔라펠 플레이트 13,500추천메뉴 : 기로스 플레이트 14,500",37.53916314,126.9886082,이태원의 그리스 정통 음식적
5,미국,자매즈(JAMEZ),02-797-8520,서울특별시 용산구 우사단로14길 48,(한남동),"주요메뉴 : 피자 11,000~15,000, 수제버거 10,000~16,000, 샐러드 10,000추천메뉴 : 피자 11,000~15,000",37.53421538,126.9983119,
5,이탈리아,로얄맨션,02-792-2655,서울특별시 용산구 유엔빌리지길 11,"2층 (한남동, TWIN VILL)","주요메뉴 : 한우스테이크 39,000, 리코타 샐러드 피자 21,000, 흑임자 크림소스 19,500추천메뉴 : 한우스테이크 39,000",37.53398428,127.0103954,한남동 유엔빌리지 내 위치 편안한 공간에서 퓨전 이탈리안을 즐기실 수 있습니다.
5,미국,지노스 피자(Gino`s Pizza),02-792-2234,서울특별시 용산구 녹사평대로40길 46,(이태원동),"주요메뉴 : 페페로니 20,000~28,000, 뉴욕스프링 28,000~40,000, 브루클린베스트 28,000~40,000추천메뉴 : 뉴욕스프링 28,000~40,000",37.53439861,126.9882107,Gino`s NewYork Pizza
5,미국,매니멀스모크하우스,02-790-6788,서울특별시 용산구 녹사평대로40길 47,2층 (이태원동),"주요메뉴 : 세트(브리스킷, 풀드포크, 치킨, 립, 안두이소시지, 맥앳치즈, 허니버터) 1인당 20,000추천메뉴 : 세트(브리스킷, 풀드포크, 치킨, 립, 안두이소시지, 맥앳치즈, 허니버터) 1인당 20,000",37.53452117,126.9884731,미국식 전총 훈연 바비큐
5,태국,(주)부다스벨리,02-796-9330,서울특별시 용산구 녹사평대로40길 48,1~2층 (이태원동),"주요메뉴 : 파타이 11,000, 푸닝팟퐁가리 33,000, �c양꿍 17,600추천메뉴 : 파타이 11,000",37.53439142,126.9883781,아름다운 뷰와 분위기를 느낄 수 있는 타이레스토랑
5,스페인,따뻬오(Tapeo),02-794-2848,서울특별시 용산구 녹사평대로40길 52,1층 (이태원동),"주요메뉴 : 빠에야 20,000~58,000, 이베리코되지목살구이 20,000, 감바스 알 아히요 14,000추천메뉴 : 빠에야 20,000~58,000",37.5343554,126.9885727,스페니쉬 타파스바
5,독일,써스티 몽크 이태원점,02-792-6751,서울특별시 용산구 녹사평대로40길 52,1층 (이태원동),"주요메뉴 : Haxen(학센) 3,400, Monk plate(몽크플레이트) 3,600, Weihenstephan Hefeweissbier(바이엔슈테판 헤페바이스비어) 9,500, Weihenstephan Dunkelweissbier(바이엔슈테판 둔켈바이스비어) 9,500 추천메뉴 : Weihenstephan Hefeweissbier(바이엔슈테판 헤페바이스비어) 9,500",37.5343554,126.9885727,1000년 역사의 독일 정통 바이엔슈테판 맥주
5,미국,킨덜스,02-720-2550,서울특별시 용산구 녹사평대로40길 52,지하1층 (이태원동),"주요메뉴 : Fours 플래더 34,900, 킨덜스 버거 11,900, 스테이크샌드위치 13,500, 스피나지앤치즈 8,900 추천메뉴 : Fours 플래더 34,900",37.5343554,126.9885727,전통 오리지널 BBQ&Grill 레스토랑
5,베트남,포88(Pho88),02-790-8338,서울특별시 용산구 녹사평대로32길 39,1층 (이태원동),"주요메뉴 : 베트남쌀국수 6,000, 갈비밥 6,000, 반미 5,000, 짜조 3,500추천메뉴 : 베트남 쌀국수 6,000 ",37.53308337,126.990718,"베트남 쌀국수, 가성비"
5,요르단,페트라,02-790-4433,서울특별시 용산구 녹사평대로40길 33,(이태원동),"주요메뉴 : 팔라펠 11,000, 타볼리샐러드 7,000, 라이스 양갈비케밥 24,000 양고기 비리아니 18,000추천메뉴 : 양고기비리아니 18,000",37.53465445,126.9877218,신선한 아라빅 할랄음식을 제공하는 집
5,멕시코,코레아노스키친,02-795-4427,서울특별시 용산구 녹사평대로40길 46,지하1층~1층 (이태원동),"주요메뉴 : Three wise fries 12,000, Chicken quesadilla 9,500, Todos burrito 12,000추천메뉴 : Three wise fries 12,000",37.53439861,126.9882107,미국 텍사스주 인기 푸드트럭 한국상륙! 최고의 멕시칸 요리를 만나보세요!
5,멕시코,불앤배럴(BULL&BARREL),02-797-7703,서울특별시 용산구 녹사평대로32길 28,(이태원동),"주요메뉴 : Chicken Quesadilla 12,000, Naughty Nachos Beef 15,500,<br>Naughty Nachos chicken 14,000, Enchiladas 14,000, Big Boy Burrito 15,000추천메뉴 : Big Boy Burrito 15,000",37.53337887,126.99027,분위기와 친절한 직원이 생맥주와 멕시코음식을 제공하는 집
